Area,Item,Year,hg_ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,rain_pest_interaction,temp_rain_interaction,Crop_Type_Code,Country_Code
Albania,Maize,1990,36613,1485.0,121.0,16.37,179685.0,24309.45,1,0
Albania,Maize,1991,29068,1485.0,121.0,15.36,179685.0,22809.6,1,0
Albania,Maize,1992,24876,1485.0,121.0,16.06,179685.0,23849.1,1,0
Albania,Maize,1993,24185,1485.0,121.0,16.05,179685.0,23834.25,1,0
Albania,Maize,1994,25848,1485.0,201.0,16.96,298485.0,25185.600000000002,1,0
Albania,Maize,1995,31300,1485.0,251.0,15.67,372735.0,23269.95,1,0
Albania,Maize,1996,32604,1485.0,313.96,15.64,466230.6,23225.4,1,0
Albania,Maize,1997,31862,1485.0,376.93,15.9,559741.05,23611.5,1,0
Albania,Maize,1998,33416,1485.0,439.89,16.27,653236.65,24160.95,1,0
Albania,Maize,1999,37455,1485.0,502.86,16.57,746747.1,24606.45,1,0
Albania,Maize,2000,38811,1485.0,565.82,16.67,840242.7000000001,24754.95,1,0
Albania,Maize,2001,38135,1485.0,628.79,16.59,933753.1499999999,24636.15,1,0
Albania,Maize,2002,39460,1485.0,691.75,16.47,1027248.75,24457.949999999997,1,0
Albania,Maize,2004,46197,1485.0,817.68,16.16,1214254.7999999998,23997.6,1,0
Albania,Maize,2005,45442,1485.0,880.64,15.67,1307750.4,23269.95,1,0
Albania,Maize,2006,50111,1485.0,943.61,15.92,1401260.85,23641.2,1,0
Albania,Maize,2007,46732,1485.0,1006.57,16.67,1494756.4500000002,24754.95,1,0
Albania,Maize,2008,50000,1485.0,1069.54,16.71,1588266.9,24814.350000000002,1,0
Albania,Maize,2009,55693,1485.0,1132.5,16.73,1681762.5,24844.05,1,0
Albania,Maize,2010,66790,1485.0,1311.17,16.52,1947087.4500000002,24532.2,1,0
Albania,Maize,2011,59869,1485.0,1302.63,16.45,1934405.55,24428.25,1,0
Albania,Maize,2012,67290,1485.0,766.25,16.7,1137881.25,24799.5,1,0
Albania,Maize,2013,69533,1485.0,982.32,17.41,1458745.2000000002,25853.85,1,0
Albania,Potatoes,1990,66667,1485.0,121.0,16.37,179685.0,24309.45,3,0
Albania,Potatoes,1991,77818,1485.0,121.0,15.36,179685.0,22809.6,3,0
Albania,Potatoes,1992,82920,1485.0,121.0,16.06,179685.0,23849.1,3,0
Albania,Potatoes,1993,98446,1485.0,121.0,16.05,179685.0,23834.25,3,0
Albania,Potatoes,1994,81404,1485.0,201.0,16.96,298485.0,25185.600000000002,3,0
Albania,Potatoes,1995,111323,1485.0,251.0,15.67,372735.0,23269.95,3,0
Albania,Potatoes,1996,106138,1485.0,313.96,15.64,466230.6,23225.4,3,0
Albania,Potatoes,1997,109874,1485.0,376.93,15.9,559741.05,23611.5,3,0
Albania,Potatoes,1998,127212,1485.0,439.89,16.27,653236.65,24160.95,3,0
Albania,Potatoes,1999,142018,1485.0,502.86,16.57,746747.1,24606.45,3,0
Albania,Potatoes,2000,141228,1485.0,565.82,16.67,840242.7000000001,24754.95,3,0
Albania,Potatoes,2001,148818,1485.0,628.79,16.59,933753.1499999999,24636.15,3,0
Albania,Potatoes,2002,153868,1485.0,691.75,16.47,1027248.75,24457.949999999997,3,0
Albania,Potatoes,2004,149346,1485.0,817.68,16.16,1214254.7999999998,23997.6,3,0
Albania,Potatoes,2005,167061,1485.0,880.64,15.67,1307750.4,23269.95,3,0
Albania,Potatoes,2006,170745,1485.0,943.61,15.92,1401260.85,23641.2,3,0
Albania,Potatoes,2007,188902,1485.0,1006.57,16.67,1494756.4500000002,24754.95,3,0
Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,1588266.9,24814.350000000002,3,0
Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,1681762.5,24844.05,3,0
Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,1947087.4500000002,24532.2,3,0
Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,1934405.55,24428.25,3,0
Albania,Potatoes,2012,250538,1485.0,766.25,16.7,1137881.25,24799.5,3,0
Albania,Potatoes,2013,260110,1485.0,982.32,17.41,1458745.2000000002,25853.85,3,0
Albania,"Rice, paddy",1990,23333,1485.0,121.0,16.37,179685.0,24309.45,4,0
Albania,"Rice, paddy",1991,28538,1485.0,121.0,15.36,179685.0,22809.6,4,0
Albania,"Rice, paddy",1992,40000,1485.0,121.0,16.06,179685.0,23849.1,4,0
Albania,"Rice, paddy",1993,41786,1485.0,121.0,16.05,179685.0,23834.25,4,0
Albania,Sorghum,1990,12500,1485.0,121.0,16.37,179685.0,24309.45,5,0
Albania,Sorghum,1991,6667,1485.0,121.0,15.36,179685.0,22809.6,5,0
Albania,Sorghum,1992,3747,1485.0,121.0,16.06,179685.0,23849.1,5,0
Albania,Soybeans,1990,7000,1485.0,121.0,16.37,179685.0,24309.45,6,0
Albania,Soybeans,1991,6066,1485.0,121.0,15.36,179685.0,22809.6,6,0
Albania,Soybeans,1992,4507,1485.0,121.0,16.06,179685.0,23849.1,6,0
Albania,Soybeans,1993,7998,1485.0,121.0,16.05,179685.0,23834.25,6,0
Albania,Soybeans,1994,7927,1485.0,201.0,16.96,298485.0,25185.600000000002,6,0
Albania,Soybeans,1995,11791,1485.0,251.0,15.67,372735.0,23269.95,6,0
Albania,Soybeans,1996,15480,1485.0,313.96,15.64,466230.6,23225.4,6,0
Albania,Soybeans,1997,12768,1485.0,376.93,15.9,559741.05,23611.5,6,0
Albania,Soybeans,1998,14327,1485.0,439.89,16.27,653236.65,24160.95,6,0
Albania,Soybeans,1999,17143,1485.0,502.86,16.57,746747.1,24606.45,6,0
Albania,Soybeans,2000,15000,1485.0,565.82,16.67,840242.7000000001,24754.95,6,0
Albania,Soybeans,2001,20000,1485.0,628.79,16.59,933753.1499999999,24636.15,6,0
Albania,Soybeans,2002,20000,1485.0,691.75,16.47,1027248.75,24457.949999999997,6,0
Albania,Soybeans,2004,13333,1485.0,817.68,16.16,1214254.7999999998,23997.6,6,0
Albania,Soybeans,2005,17500,1485.0,880.64,15.67,1307750.4,23269.95,6,0
Albania,Soybeans,2006,20000,1485.0,943.61,15.92,1401260.85,23641.2,6,0
Albania,Soybeans,2007,20000,1485.0,1006.57,16.67,1494756.4500000002,24754.95,6,0
Albania,Soybeans,2008,20000,1485.0,1069.54,16.71,1588266.9,24814.350000000002,6,0
Albania,Soybeans,2009,16667,1485.0,1132.5,16.73,1681762.5,24844.05,6,0
Albania,Soybeans,2010,16667,1485.0,1311.17,16.52,1947087.4500000002,24532.2,6,0
Albania,Soybeans,2011,18519,1485.0,1302.63,16.45,1934405.55,24428.25,6,0
Albania,Soybeans,2012,13333,1485.0,766.25,16.7,1137881.25,24799.5,6,0
Albania,Soybeans,2013,10000,1485.0,982.32,17.41,1458745.2000000002,25853.85,6,0
